Metric,Value
Expected_Fundamental_Hz,1591.549430919
Measured_FFT_Peak_Hz,1592.000000000
FFT_Frequency_Error_Percent,0.028310090
S2_Hybrid_RMSE_rad_per_s,1.258862581970e-02
S2_Hybrid_MAE_rad_per_s,1.236467566930e-02
S2_Mean_Error_Bias_rad_per_s,1.236467566930e-02
S2_Bias_Squared,1.528852044069e-04
S2_Error_Variance,5.588295621512e-06
S2_RMSE_Squared,1.584735000284e-04
S2_Integrated_PSD_Noise_Power,4.490861173586e-06
S2_PSD_Variance_Difference_Percent,22.097458407
S2_Reconstructed_RMSE,1.254496176082e-02
S3_Hybrid_RMSE_rad_per_s,2.381506534946e-02
S3_Hybrid_MAE_rad_per_s,2.304749915707e-02
S3_Mean_Error_Bias_rad_per_s,2.304749915707e-02
S3_Bias_Squared,5.311872173952e-04
S3_Error_Variance,3.597012020364e-05
S3_RMSE_Squared,5.671573375988e-04
S3_Integrated_PSD_Noise_Power,2.802163785252e-05
S3_PSD_Variance_Difference_Percent,22.097458407
S3_Reconstructed_RMSE,2.364759724048e-02
RMSE_Increase_Percent,89.179229652
MAE_Increase_Percent,86.397927236
PSD_Noise_Power_Increase_Percent,523.970253575
